	Arabidopsis_thaliana	Beta_macrocarpa	Beta_vulgaris_subsp_maritima	Beta_vulgaris_subsp_vulgaris	Brassica_carinata	Brassica_napus	Brassica_oleracea	Carica_papaya	Chaetosphaeridium_globosum	Chara_vulgaris	Citrullus_lanatus	Cucurbita_pepo	Cycas_taitungensis	Marchantia_polymorpha	Nicotiana_tabacum	Nothoceros_aenigmaticus	Oryza_rufipogon	Oryza_sativa_Indica_Group	Oryza_sativa_Japonica_Group	Phaeoceros_laevis	Physcomitrella_patens	Pleurozia_purpurea	Ricinus_communis	Silene_latifolia	Sorghum_bicolor	Tripsacum_dactyloides	Triticum_aestivum	Vigna_radiata	Vitis_vinifera	Zea_luxurians	Zea_mays_subsp_mays	Zea_mays_subsp_parviglumis	Zea_perennis	% of species where gene is present
CcmFn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ND2	0	0	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
RNA_pol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2928	0	0	0	0	3.03
atp1	1524	1521	1521	1521	1524	1524	1524	1530	1527	1551	1530	1530	1527	1542	1530	1542	1530	1530	1530	1542	1557	1542	1530	1542	0	0	1530	1527	1530	1527	0	1527	1527	90.91
atp1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1542	0	0	0	0	0	0	0	0	3.03
atp1-a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1527	0	0	0	0	0	0	0	3.03
atp1-a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1527	0	0	3.03
atp1-a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1527	0	0	3.03
atp1-b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2451	0	0	0	0	0	0	0	3.03
atp4	0	597	0	0	579	0	579	579	0	0	597	576	594	552	0	552	0	0	0	552	552	552	597	597	627	639	0	594	597	666	660	666	666	66.67
atp6	0	774	774	774	786	786	786	774	762	759	774	780	768	759	1188	759	1014	1014	1005	759	759	759	792	894	1149	0	0	726	1167	1233	1233	1233	0	87.88
atp6-1	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	1161	0	0	0	0	0	1233	12.12
atp6-2	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	6.06
atp8	0	489	489	489	477	0	477	483	441	516	480	483	489	519	0	0	0	0	0	0	525	519	480	507	468	462	0	501	480	462	462	462	462	72.73
atp8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	3.03
atp8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	3.03
atp9	258	225	225	225	225	225	225	225	255	231	225	225	225	225	234	225	384	225	225	225	225	225	225	225	261	255	243	0	225	225	225	225	225	96.97
atp9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	3.03
atp9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	3.03
atpA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1524	0	0	0	0	3.03
ccb203	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccb206	621	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06
ccb256	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccb382	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccb438	0	0	0	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccb452	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccb577	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ccmB	0	621	621	0	621	621	621	621	0	0	621	621	639	834	621	0	0	621	621	0	528	828	621	621	621	0	621	621	621	621	621	621	621	75.76
ccmB-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	0	0	0	0	0	0	3.03
ccmC	0	0	0	0	744	744	744	726	0	0	699	699	720	687	753	0	723	723	723	0	813	687	699	720	0	723	0	741	753	723	723	723	723	69.70
ccmC-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	3.03
ccmFC	0	1317	1317	0	1359	1359	1359	1323	0	0	0	0	1392	0	0	0	0	0	0	0	0	1458	1317	0	1314	0	1314	0	1518	0	1302	1302	1302	45.45
ccmFC-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1302	0	0	0	1302	0	0	0	6.06
ccmFN-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1818	0	0	0	0	0	0	0	3.03
ccmFN1	0	0	0	0	1146	1146	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09
ccmFN2	0	0	0	0	636	636	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09
ccmFc	0	0	0	0	0	0	0	0	0	0	1317	1314	0	0	1317	0	0	1305	1308	0	0	0	0	1323	0	0	0	1329	0	0	0	0	0	21.21
ccmFn	0	0	0	0	0	0	0	0	0	0	1734	1734	0	0	0	0	0	1785	1785	0	0	0	1797	1752	0	0	0	1737	0	0	0	0	0	21.21
cob	1182	1182	1182	1182	1182	1182	1182	1182	1152	1158	1173	1173	1197	1215	1182	1221	1194	1194	1194	1200	1221	1215	1182	1182	0	1167	1197	1182	0	1167	1167	1167	1167	93.94
cob-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1167	0	0	0	0	0	0	0	0	3.03
cob2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	3.03
cox1	1584	1575	1575	1575	1584	1584	1584	1584	1581	1575	1584	1584	1572	1569	1584	1569	1203	1575	1576	1569	1569	1569	1584	1575	1593	2133	1575	1584	1584	1587	1587	1587	1587	100.00
cox2	783	783	783	783	0	0	0	783	753	756	783	783	807	756	783	756	783	783	783	756	711	756	783	780	783	783	783	0	786	783	783	783	783	87.88
cox2-1	0	0	0	0	783	783	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09
cox2-2	0	0	0	0	0	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
cox3	798	798	798	798	798	798	798	798	795	801	798	798	798	798	798	798	843	843	843	798	798	792	798	798	798	798	798	798	798	798	798	798	798	100.00
dpo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2085	0	0	0	0	0	0	0	0	0	3.03
infA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	3.03
mat-R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
mat-r	0	1968	1968	1968	0	0	0	0	0	0	0	0	0	0	0	0	1977	2037	2037	0	0	0	0	0	2037	0	0	0	0	2013	2022	2022	2022	33.33
mat-r-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2028	0	0	0	0	0	0	0	3.03
matR	2019	0	0	0	2034	2034	2034	1968	0	0	2007	1935	2115	0	0	0	0	0	0	0	0	0	1968	1992	0	0	2037	2010	1206	0	0	0	0	39.39
mttB	0	0	0	0	0	0	0	804	0	780	849	816	780	0	0	0	0	0	0	0	0	0	798	795	816	816	816	723	0	822	0	0	816	39.39
mttB-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816	0	3.03
nad4	1488	1488	1488	1488	1488	1488	1488	1488	1458	1491	1488	1488	1488	1488	1488	1491	0	1488	1488	1464	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	96.97
nad4L	303	303	303	303	303	303	303	303	303	312	303	303	303	303	303	303	273	303	303	300	303	303	303	303	303	303	303	303	303	303	303	303	303	100.00
nad6	618	618	618	618	618	618	618	618	588	603	618	618	606	600	687	606	618	618	618	606	606	600	654	618	816	1002	744	618	672	1128	663	663	630	100.00
nad7	1185	1176	1176	1176	1185	1185	1185	1185	1182	1182	1185	1185	1185	0	1185	0	0	1185	1187	0	1182	0	1185	1185	1185	1185	1185	1185	1185	1179	1185	1185	1185	84.85
nad9	573	579	579	579	573	573	573	573	564	567	573	573	594	639	573	576	573	573	573	576	588	639	573	579	573	0	864	573	573	573	573	573	573	96.97
nad9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	0	0	0	0	3.03
ndhE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	3.03
petA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	3.03
psaC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	3.03
psaJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	3.03
psbA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1848	0	0	0	0	3.03
psbJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	3.03
psbM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	3.03
psbN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	3.03
psbT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	3.03
rbcL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	0	0	3.03
rpl10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	3.03
rpl14	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	6.06
rpl2	1050	0	0	0	1050	1050	1050	1008	723	789	999	999	1434	1506	996	0	1515	1509	1549	0	1392	1566	0	0	0	0	0	0	1005	0	0	0	0	54.55
rpl20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	3.03
rpl32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	3.03
rpl33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	3.03
rpl36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	3.03
rpl5	558	561	561	561	558	558	558	558	390	495	558	558	579	567	555	0	567	567	567	0	561	561	555	555	0	0	570	558	552	0	0	0	0	75.76
rpl6	0	0	0	0	0	0	0	0	300	306	0	0	0	306	0	0	0	0	0	0	306	306	0	0	0	0	0	0	0	0	0	0	0	15.15
rpo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	3.03
